title,company,location,job_type,description,link,source,date_found,combined_text,clean_text,user_feedback,notes,similarity_score,keyword_bonus,avoid_penalty,location_bonus,location_penalty,role_bonus,job_type_bonus,job_type_penalty,feedback_adjustment,match_score,match_reason,profile_skills_found,job_skills_found,missing_skills,skill_match_rate,matched_keywords,avoid_keywords_found
Operations Research Part-time Analyst,RouteWise,Hybrid - Istanbul,Part-time,"Support optimization projects with Python, Gurobi, algorithms, and Excel. This part-time role is designed for undergraduate students studying industrial engineering or computer engineering.",https://example.com/jobs/operations-research-part-time-analyst,Sample Dataset,2026-05-23,"Operations Research Part-time Analyst RouteWise Hybrid - Istanbul Part-time Support optimization projects with Python, Gurobi, algorithms, and Excel. This part-time role is designed for undergraduate students studying industrial engineering or computer engineering.",operations research part-time analyst routewise hybrid - istanbul part-time support optimization projects with python gurobi algorithms and excel. this part-time role is designed for undergraduate students studying industrial engineering or computer engineering.,,,14.59,3.1,0.0,10.0,0.0,0.0,5.0,0.0,0.0,26.86,"Matches preferred keywords: Python, algorithms, optimization, Gurobi; Profile skills found: Python, Gurobi, Excel, algorithms; Location fits preference: Istanbul; Job type fits preference: Part-time","Python, Gurobi, Excel, algorithms, optimization","Python, Excel, Gurobi, optimization, algorithms",,100.0,"Python, algorithms, optimization, Gurobi, Excel, part-time",
Optimization Intern,OptiWorks,Kocaeli,Internship,"Work on operations research models using Python, Gurobi, simulation, and optimization. You will help analyze production planning scenarios and prepare reports for engineering teams.",https://example.com/jobs/optimization-intern-optiworks,Sample Dataset,2026-05-23,"Optimization Intern OptiWorks Kocaeli Internship Work on operations research models using Python, Gurobi, simulation, and optimization. You will help analyze production planning scenarios and prepare reports for engineering teams.",optimization intern optiworks kocaeli internship work on operations research models using python gurobi simulation and optimization. you will help analyze production planning scenarios and prepare reports for engineering teams.,,,11.63,2.59,0.0,10.0,0.0,0.0,5.0,0.0,0.0,24.56,"Matches preferred keywords: Python, optimization, simulation, Gurobi; Profile skills found: Python, Gurobi, optimization, simulation; Location fits preference: Kocaeli; Job type fits preference: Internship","Python, Gurobi, optimization, simulation","Python, Gurobi, optimization, simulation",,100.0,"Python, optimization, simulation, Gurobi, internship",
Cybersecurity Data Intern,ShieldAnalytics,Remote,Internship,"Analyze security event data using Python and SQL. You will build reports, investigate patterns, and support cybersecurity analysts with data-driven insights.",https://example.com/jobs/cybersecurity-data-intern,Sample Dataset,2026-05-23,"Cybersecurity Data Intern ShieldAnalytics Remote Internship Analyze security event data using Python and SQL. You will build reports, investigate patterns, and support cybersecurity analysts with data-driven insights.",cybersecurity data intern shieldanalytics remote internship analyze security event data using python and sql. you will build reports investigate patterns and support cybersecurity analysts with data-driven insights.,,,10.5,2.07,0.0,10.0,0.0,0.0,5.0,0.0,0.0,23.37,"Matches preferred keywords: Python, SQL, cybersecurity, internship; Profile skills found: Python, SQL, cybersecurity; Location fits preference: Remote; Job type fits preference: Internship","Python, SQL, cybersecurity","Python, SQL, cybersecurity",,100.0,"Python, SQL, cybersecurity, internship",
AI Product Intern,EduFuture AI,Remote,Internship,"Work between product and machine learning teams to improve an AI education platform. Tasks include user research, evaluating model outputs, writing product notes, and tracking experiments.",https://example.com/jobs/ai-product-intern-edufuture,Sample Dataset,2026-05-23,"AI Product Intern EduFuture AI Remote Internship Work between product and machine learning teams to improve an AI education platform. Tasks include user research, evaluating model outputs, writing product notes, and tracking experiments.",ai product intern edufuture ai remote internship work between product and machine learning teams to improve an ai education platform. tasks include user research evaluating model outputs writing product notes and tracking experiments.,maybe,"Interesting AI product exposure, but less technical.",6.17,1.55,0.0,10.0,0.0,0.0,5.0,0.0,3.0,23.25,"Matches preferred keywords: machine learning, AI, internship; Profile skills found: machine learning, AI; Location fits preference: Remote; Job type fits preference: Internship; User feedback: maybe","machine learning, AI","machine learning, AI",,100.0,"machine learning, AI, internship",
Data Engineering Intern,StreamWorks,Remote,Internship,"Help build ETL pipelines, validate datasets, write SQL transformations, and support analytics engineers. Experience with Python and clean code is preferred.",https://example.com/jobs/data-engineering-intern-streamworks,Sample Dataset,2026-05-23,"Data Engineering Intern StreamWorks Remote Internship Help build ETL pipelines, validate datasets, write SQL transformations, and support analytics engineers. Experience with Python and clean code is preferred.",data engineering intern streamworks remote internship help build etl pipelines validate datasets write sql transformations and support analytics engineers. experience with python and clean code is preferred.,,,5.9,1.55,0.0,10.0,0.0,0.0,5.0,0.0,0.0,20.09,"Matches preferred keywords: Python, SQL, internship; Profile skills found: Python, SQL; Possible skill gaps: ETL; Location fits preference: Remote; Job type fits preference: Internship","Python, SQL","Python, SQL, ETL",ETL,66.67,"Python, SQL, internship",
NLP Research Assistant,UniTech AI Lab,Hybrid - Istanbul,Internship,"Support applied NLP research projects using TF-IDF, text classification, embeddings, and topic modeling. The role is ideal for students who enjoy machine learning experiments and reading research papers.",https://example.com/jobs/nlp-research-assistant,Sample Dataset,2026-05-23,"NLP Research Assistant UniTech AI Lab Hybrid - Istanbul Internship Support applied NLP research projects using TF-IDF, text classification, embeddings, and topic modeling. The role is ideal for students who enjoy machine learning experiments and reading research papers.",nlp research assistant unitech ai lab hybrid - istanbul internship support applied nlp research projects using tf-idf text classification embeddings and topic modeling. the role is ideal for students who enjoy machine learning experiments and reading research papers.,,,5.68,1.55,0.0,10.0,0.0,0.0,5.0,0.0,0.0,19.96,"Matches preferred keywords: machine learning, AI, internship; Profile skills found: machine learning, AI; Possible skill gaps: NLP; Location fits preference: Istanbul; Job type fits preference: Internship","machine learning, AI","machine learning, NLP, AI",NLP,66.67,"machine learning, AI, internship",
Backend Software Engineering Intern,CloudForge Systems,Remote,Internship,"Build Python APIs, write tests, and collaborate with engineers on backend services. Some exposure to data pipelines, SQL, and cloud deployment is helpful.",https://example.com/jobs/backend-engineering-intern,Sample Dataset,2026-05-23,"Backend Software Engineering Intern CloudForge Systems Remote Internship Build Python APIs, write tests, and collaborate with engineers on backend services. Some exposure to data pipelines, SQL, and cloud deployment is helpful.",backend software engineering intern cloudforge systems remote internship build python apis write tests and collaborate with engineers on backend services. some exposure to data pipelines sql and cloud deployment is helpful.,,,5.63,1.55,0.0,10.0,0.0,0.0,5.0,0.0,0.0,19.93,"Matches preferred keywords: Python, SQL, internship; Profile skills found: Python, SQL; Possible skill gaps: cloud; Location fits preference: Remote; Job type fits preference: Internship","Python, SQL","Python, SQL, cloud",cloud,66.67,"Python, SQL, internship",
Product Management Intern,ShopPilot,Istanbul,Internship,"Work with product managers on user stories, market research, sprint notes, and stakeholder communication. Some data analysis may be needed, but this is not a technical role.",https://example.com/jobs/product-management-intern,Sample Dataset,2026-05-23,"Product Management Intern ShopPilot Istanbul Internship Work with product managers on user stories, market research, sprint notes, and stakeholder communication. Some data analysis may be needed, but this is not a technical role.",product management intern shoppilot istanbul internship work with product managers on user stories market research sprint notes and stakeholder communication. some data analysis may be needed but this is not a technical role.,,,5.06,1.03,0.0,10.0,0.0,0.0,5.0,0.0,0.0,19.07,"Matches preferred keywords: data analysis, internship; Profile skills found: data analysis; Location fits preference: Istanbul; Job type fits preference: Internship",data analysis,data analysis,,100.0,"data analysis, internship",
Marketing Operations Intern,TrendWave Media,Istanbul,Internship,"Assist with social media calendars, campaign reporting, influencer research, and brand content planning. This position is best for candidates interested in digital marketing.",https://example.com/jobs/marketing-ops-intern,Sample Dataset,2026-05-23,"Marketing Operations Intern TrendWave Media Istanbul Internship Assist with social media calendars, campaign reporting, influencer research, and brand content planning. This position is best for candidates interested in digital marketing.",marketing operations intern trendwave media istanbul internship assist with social media calendars campaign reporting influencer research and brand content planning. this position is best for candidates interested in digital marketing.,,,2.29,0.52,3.33,10.0,0.0,0.0,5.0,0.0,0.0,13.56,"Matches preferred keywords: internship; Location fits preference: Istanbul; Job type fits preference: Internship; Contains avoid keywords: marketing, social media, influencer",,,,0.0,internship,"marketing, social media, influencer"
Junior Machine Learning Engineer,ModelCraft,Berlin,Full-time,Build machine learning services with Python and production deployment. Applicants must have graduated and should have at least one year of full-time professional experience.,https://example.com/jobs/junior-ml-engineer-modelcraft,Sample Dataset,2026-05-23,Junior Machine Learning Engineer ModelCraft Berlin Full-time Build machine learning services with Python and production deployment. Applicants must have graduated and should have at least one year of full-time professional experience.,junior machine learning engineer modelcraft berlin full-time build machine learning services with python and production deployment. applicants must have graduated and should have at least one year of full-time professional experience.,,,9.84,1.03,3.33,0.0,25.0,0.0,0.0,25.0,0.0,0.0,"Matches preferred keywords: machine learning, Python; Profile skills found: Python, machine learning; Location is not in preferred locations; Job type is not preferred; Contains avoid keywords: full-time, graduated, must have graduated","Python, machine learning","Python, machine learning",,100.0,"machine learning, Python","full-time, graduated, must have graduated"
Graduate Software Engineer,Northstar Systems,London,Full-time,Develop Java backend services and work with SQL databases. This full-time role requires a bachelor's degree and is intended for new graduate candidates.,https://example.com/jobs/graduate-software-engineer,Sample Dataset,2026-05-23,Graduate Software Engineer Northstar Systems London Full-time Develop Java backend services and work with SQL databases. This full-time role requires a bachelor's degree and is intended for new graduate candidates.,graduate software engineer northstar systems london full-time develop java backend services and work with sql databases. this full-time role requires a bachelor s degree and is intended for new graduate candidates.,,,4.73,1.03,3.33,0.0,25.0,0.0,0.0,25.0,0.0,0.0,"Matches preferred keywords: Java, SQL; Profile skills found: Java, SQL; Location is not in preferred locations; Job type is not preferred; Contains avoid keywords: full-time, new graduate, graduate","Java, SQL","Java, SQL",,100.0,"Java, SQL","full-time, new graduate, graduate"
Cybersecurity Intern,SecureNet,Ankara,Internship,"Monitor alerts, review security tickets, document incident response steps, and learn about network security tools. Python scripting is a plus but not the main focus.",https://example.com/jobs/cybersecurity-intern-securenet,Sample Dataset,2026-05-23,"Cybersecurity Intern SecureNet Ankara Internship Monitor alerts, review security tickets, document incident response steps, and learn about network security tools. Python scripting is a plus but not the main focus.",cybersecurity intern securenet ankara internship monitor alerts review security tickets document incident response steps and learn about network security tools. python scripting is a plus but not the main focus.,,,3.78,1.55,0.0,0.0,25.0,10.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, cybersecurity, internship; Profile skills found: Python, cybersecurity; Location is not in preferred locations; Title matches target role: Cybersecurity Intern; Job type fits preference: Internship","Python, cybersecurity","Python, cybersecurity",,100.0,"Python, cybersecurity, internship",
Junior Data Analyst,HealthPulse,Remote,Full-time,"Analyze healthcare datasets using Python, SQL, and pandas. Create dashboards, clean messy data, and communicate insights about patient engagement and operations.",https://example.com/jobs/junior-data-analyst-healthpulse,Sample Dataset,2026-05-23,"Junior Data Analyst HealthPulse Remote Full-time Analyze healthcare datasets using Python, SQL, and pandas. Create dashboards, clean messy data, and communicate insights about patient engagement and operations.",junior data analyst healthpulse remote full-time analyze healthcare datasets using python sql and pandas. create dashboards clean messy data and communicate insights about patient engagement and operations.,rejected,Full-time role is not suitable right now.,8.12,1.55,1.11,10.0,0.0,0.0,0.0,25.0,-30.0,0.0,"Matches preferred keywords: Python, SQL, pandas; Profile skills found: Python, pandas, SQL; Location fits preference: Remote; Job type is not preferred; User feedback: rejected; Contains avoid keywords: full-time","Python, pandas, SQL","Python, SQL, pandas",,100.0,"Python, SQL, pandas",full-time
Sales Development Intern,LeadSpark,Remote,Internship,"Contact potential customers, update CRM records, support cold outreach, and prepare sales reports. This role focuses on sales targets and customer calls.",https://example.com/jobs/sales-development-intern,Sample Dataset,2026-05-23,"Sales Development Intern LeadSpark Remote Internship Contact potential customers, update CRM records, support cold outreach, and prepare sales reports. This role focuses on sales targets and customer calls.",sales development intern leadspark remote internship contact potential customers update crm records support cold outreach and prepare sales reports. this role focuses on sales targets and customer calls.,rejected,Not aligned with technical or analytical goals.,4.13,0.52,4.44,10.0,0.0,0.0,5.0,0.0,-30.0,0.0,"Matches preferred keywords: internship; Location fits preference: Remote; Job type fits preference: Internship; User feedback: rejected; Contains avoid keywords: sales, cold outreach, customer calls",,,,0.0,internship,"sales, cold outreach, customer calls, CRM"
Business Analyst Intern,Global Finance Group,London,Internship,"Prepare Excel reports, summarize business KPIs, and support stakeholder presentations. This role focuses on finance reporting, documentation, and manual data checks.",https://example.com/jobs/business-analyst-intern,Sample Dataset,2026-05-23,"Business Analyst Intern Global Finance Group London Internship Prepare Excel reports, summarize business KPIs, and support stakeholder presentations. This role focuses on finance reporting, documentation, and manual data checks.",business analyst intern global finance group london internship prepare excel reports summarize business kpis and support stakeholder presentations. this role focuses on finance reporting documentation and manual data checks.,,,9.86,1.03,0.0,0.0,25.0,10.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Excel, internship; Profile skills found: Excel; Location is not in preferred locations; Title matches target role: Business Analyst Intern; Job type fits preference: Internship",Excel,Excel,,100.0,"Excel, internship",
