match_score,user_feedback,notes,title,company,location,job_type,date_found,source,similarity_score,keyword_bonus,location_bonus,location_penalty,role_bonus,job_type_bonus,job_type_penalty,avoid_penalty,feedback_adjustment,match_reason,profile_skills_found,job_skills_found,missing_skills,skill_match_rate,matched_keywords,avoid_keywords_found,link
26.86,,,Operations Research Part-time Analyst,RouteWise,Hybrid - Istanbul,Part-time,2026-05-23,Sample Dataset,14.59,3.1,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, algorithms, optimization, Gurobi; Profile skills found: Python, Gurobi, Excel, algorithms; Location fits preference: Istanbul; Job type fits preference: Part-time","Python, Gurobi, Excel, algorithms, optimization","Python, Excel, Gurobi, optimization, algorithms",,100.0,"Python, algorithms, optimization, Gurobi, Excel, part-time",,https://example.com/jobs/operations-research-part-time-analyst
24.56,,,Optimization Intern,OptiWorks,Kocaeli,Internship,2026-05-23,Sample Dataset,11.63,2.59,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, optimization, simulation, Gurobi; Profile skills found: Python, Gurobi, optimization, simulation; Location fits preference: Kocaeli; Job type fits preference: Internship","Python, Gurobi, optimization, simulation","Python, Gurobi, optimization, simulation",,100.0,"Python, optimization, simulation, Gurobi, internship",,https://example.com/jobs/optimization-intern-optiworks
23.37,,,Cybersecurity Data Intern,ShieldAnalytics,Remote,Internship,2026-05-23,Sample Dataset,10.5,2.07,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, SQL, cybersecurity, internship; Profile skills found: Python, SQL, cybersecurity; Location fits preference: Remote; Job type fits preference: Internship","Python, SQL, cybersecurity","Python, SQL, cybersecurity",,100.0,"Python, SQL, cybersecurity, internship",,https://example.com/jobs/cybersecurity-data-intern
23.25,maybe,"Interesting AI product exposure, but less technical.",AI Product Intern,EduFuture AI,Remote,Internship,2026-05-23,Sample Dataset,6.17,1.55,10.0,0.0,0.0,5.0,0.0,0.0,3.0,"Matches preferred keywords: machine learning, AI, internship; Profile skills found: machine learning, AI; Location fits preference: Remote; Job type fits preference: Internship; User feedback: maybe","machine learning, AI","machine learning, AI",,100.0,"machine learning, AI, internship",,https://example.com/jobs/ai-product-intern-edufuture
20.09,,,Data Engineering Intern,StreamWorks,Remote,Internship,2026-05-23,Sample Dataset,5.9,1.55,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, SQL, internship; Profile skills found: Python, SQL; Possible skill gaps: ETL; Location fits preference: Remote; Job type fits preference: Internship","Python, SQL","Python, SQL, ETL",ETL,66.67,"Python, SQL, internship",,https://example.com/jobs/data-engineering-intern-streamworks
19.96,,,NLP Research Assistant,UniTech AI Lab,Hybrid - Istanbul,Internship,2026-05-23,Sample Dataset,5.68,1.55,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: machine learning, AI, internship; Profile skills found: machine learning, AI; Possible skill gaps: NLP; Location fits preference: Istanbul; Job type fits preference: Internship","machine learning, AI","machine learning, NLP, AI",NLP,66.67,"machine learning, AI, internship",,https://example.com/jobs/nlp-research-assistant
19.93,,,Backend Software Engineering Intern,CloudForge Systems,Remote,Internship,2026-05-23,Sample Dataset,5.63,1.55,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, SQL, internship; Profile skills found: Python, SQL; Possible skill gaps: cloud; Location fits preference: Remote; Job type fits preference: Internship","Python, SQL","Python, SQL, cloud",cloud,66.67,"Python, SQL, internship",,https://example.com/jobs/backend-engineering-intern
19.07,,,Product Management Intern,ShopPilot,Istanbul,Internship,2026-05-23,Sample Dataset,5.06,1.03,10.0,0.0,0.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: data analysis, internship; Profile skills found: data analysis; Location fits preference: Istanbul; Job type fits preference: Internship",data analysis,data analysis,,100.0,"data analysis, internship",,https://example.com/jobs/product-management-intern
13.56,,,Marketing Operations Intern,TrendWave Media,Istanbul,Internship,2026-05-23,Sample Dataset,2.29,0.52,10.0,0.0,0.0,5.0,0.0,3.33,0.0,"Matches preferred keywords: internship; Location fits preference: Istanbul; Job type fits preference: Internship; Contains avoid keywords: marketing, social media, influencer",,,,0.0,internship,"marketing, social media, influencer",https://example.com/jobs/marketing-ops-intern
0.0,,,Junior Machine Learning Engineer,ModelCraft,Berlin,Full-time,2026-05-23,Sample Dataset,9.84,1.03,0.0,25.0,0.0,0.0,25.0,3.33,0.0,"Matches preferred keywords: machine learning, Python; Profile skills found: Python, machine learning; Location is not in preferred locations; Job type is not preferred; Contains avoid keywords: full-time, graduated, must have graduated","Python, machine learning","Python, machine learning",,100.0,"machine learning, Python","full-time, graduated, must have graduated",https://example.com/jobs/junior-ml-engineer-modelcraft
0.0,,,Graduate Software Engineer,Northstar Systems,London,Full-time,2026-05-23,Sample Dataset,4.73,1.03,0.0,25.0,0.0,0.0,25.0,3.33,0.0,"Matches preferred keywords: Java, SQL; Profile skills found: Java, SQL; Location is not in preferred locations; Job type is not preferred; Contains avoid keywords: full-time, new graduate, graduate","Java, SQL","Java, SQL",,100.0,"Java, SQL","full-time, new graduate, graduate",https://example.com/jobs/graduate-software-engineer
0.0,,,Cybersecurity Intern,SecureNet,Ankara,Internship,2026-05-23,Sample Dataset,3.78,1.55,0.0,25.0,10.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Python, cybersecurity, internship; Profile skills found: Python, cybersecurity; Location is not in preferred locations; Title matches target role: Cybersecurity Intern; Job type fits preference: Internship","Python, cybersecurity","Python, cybersecurity",,100.0,"Python, cybersecurity, internship",,https://example.com/jobs/cybersecurity-intern-securenet
0.0,rejected,Full-time role is not suitable right now.,Junior Data Analyst,HealthPulse,Remote,Full-time,2026-05-23,Sample Dataset,8.12,1.55,10.0,0.0,0.0,0.0,25.0,1.11,-30.0,"Matches preferred keywords: Python, SQL, pandas; Profile skills found: Python, pandas, SQL; Location fits preference: Remote; Job type is not preferred; User feedback: rejected; Contains avoid keywords: full-time","Python, pandas, SQL","Python, SQL, pandas",,100.0,"Python, SQL, pandas",full-time,https://example.com/jobs/junior-data-analyst-healthpulse
0.0,rejected,Not aligned with technical or analytical goals.,Sales Development Intern,LeadSpark,Remote,Internship,2026-05-23,Sample Dataset,4.13,0.52,10.0,0.0,0.0,5.0,0.0,4.44,-30.0,"Matches preferred keywords: internship; Location fits preference: Remote; Job type fits preference: Internship; User feedback: rejected; Contains avoid keywords: sales, cold outreach, customer calls",,,,0.0,internship,"sales, cold outreach, customer calls, CRM",https://example.com/jobs/sales-development-intern
0.0,,,Business Analyst Intern,Global Finance Group,London,Internship,2026-05-23,Sample Dataset,9.86,1.03,0.0,25.0,10.0,5.0,0.0,0.0,0.0,"Matches preferred keywords: Excel, internship; Profile skills found: Excel; Location is not in preferred locations; Title matches target role: Business Analyst Intern; Job type fits preference: Internship",Excel,Excel,,100.0,"Excel, internship",,https://example.com/jobs/business-analyst-intern
